Տարածաշրջան,Շինության տիպ,Սենյակներ,Մակերես,Հարկ,Վերանորոգում,Գինը
"Արմավիր, Փարաքար գյուղ",Քարե,2,52,2,Նորմալ վիճակ,$49000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,3,73,4,Կապիտալ,$96000
"Երևան, Արաբկիր",Քարե,3,75,3,Նորմալ վիճակ,$125000
"Երևան, Արաբկիր",Քարե,3,84,3,Պետական վիճակ,$135000
"Երևան, Քանաքեռ Զեյթուն","Մոնոլիտ, Նորակառույց",2,46,15,Զրոյական վիճակ,$92000
"Երևան, Կենտրոն",Պանելային,3,73,7,Կապիտալ,$138000
"Երևան, Արաբկիր",Պանելային,3,94,2,Կապիտալ,$160000
"Երևան, Կենտրոն",Պանելային,2,49,13,Կապիտալ,$88000
"Երևան, Դավթաշեն",Մոնոլիտ,3,71,14,Դիզայներական,$162000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",2,54,7,Կապիտալ,$240000
"Երևան, Արաբկիր",Պանելային,4,106,13,Կապիտալ,$145000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",2,41,6,Կապիտալ,$123000
"Երևան, Մալաթիա Սեբաստիա",Պանելային,3,92,12,Պետական վիճակ,$92000
"Երևան, Արաբկիր",Քարե,3,80,4,Կապիտալ,$210000
"Երևան, Արաբկիր",Պանելային,3,84,7,Դիզայներական,$135000
"Երևան, Կենտրոն",Քարե,2,70,2,Կապիտալ,$280000
"Երևան, Կենտրոն",Քարե,2,55,1,Կապիտալ,$105000
"Երևան, Քանաքեռ Զեյթուն",Քարե,3,77,2,Կապիտալ,$145000
"Երևան, Աջափնյակ",Քարե,2,37,2,Կապիտալ,$69000
"Երևան, Կենտրոն","Մոնոլիտ, Նորակառույց",3,77,4,Զրոյական վիճակ,$170000
"Երևան, Դավթաշեն","Մոնոլիտ, Նորակառույց",4,110,11,Դիզայներական,$320000
"Երևան, Քանաքեռ Զեյթուն",Պանելային,2,52,1,Կապիտալ,$74000
"Երևան, Արաբկիր",Քարե,3,70,1,Կապիտալ,$155000
"Երևան, Կենտրոն",Պանելային,2,43,9,Նորմալ վիճակ,$75000
